City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kirando,TZ,-7.4167,30.6,83.26,38,28,8.68,scattered clouds
1,Crib Point,AU,-38.35,145.2,58.24,94,99,12.55,light rain
2,Rafaela,AR,-31.2503,-61.4867,60.98,40,58,3.0,broken clouds
3,Saint-Joseph,RE,-21.3667,55.6167,78.1,58,1,12.41,clear sky
4,Rikitea,PF,-23.1203,-134.9692,69.62,66,2,15.19,clear sky
5,Bredasdorp,ZA,-34.5322,20.0403,65.44,80,100,7.31,overcast clouds
6,Salalah,OM,17.0151,54.0924,83.7,59,42,10.04,scattered clouds
7,Caravelas,BR,-17.7125,-39.2481,75.58,67,57,7.16,broken clouds
8,Kampot,KH,10.6167,104.1833,86.05,74,97,6.82,overcast clouds
9,Albany,US,42.6001,-73.9662,59.23,83,97,3.0,overcast clouds
10,Lavrentiya,RU,65.5833,-171.0,24.37,61,10,5.1,clear sky
11,Barrow,US,71.2906,-156.7887,28.42,59,100,21.85,overcast clouds
12,Vaini,TO,-21.2,-175.2,68.16,100,20,0.0,few clouds
13,Guerrero Negro,MX,27.9769,-114.0611,68.47,86,96,15.01,overcast clouds
14,Russell,US,32.3502,-85.1999,65.48,98,85,3.2,overcast clouds
15,Vondrozo,MG,-22.8167,47.2833,79.16,41,20,8.32,few clouds
16,Buraydah,SA,26.326,43.975,93.52,9,0,12.06,clear sky
17,East London,ZA,-33.0153,27.9116,87.15,45,100,11.56,overcast clouds
18,Richards Bay,ZA,-28.783,32.0377,91.02,47,84,11.48,broken clouds
19,Provideniya,RU,64.3833,-173.3,25.07,73,3,3.47,clear sky
20,Severo-Kurilsk,RU,50.6789,156.125,42.84,67,75,24.67,broken clouds
21,Port Hedland,AU,-20.3167,118.5667,89.65,11,45,10.36,scattered clouds
22,Rieti,IT,42.4072,12.8592,61.0,94,100,2.37,overcast clouds
23,Khandbari,NP,27.3747,87.2039,78.69,67,5,5.26,clear sky
24,Stromness,GB,58.965,-3.296,49.87,86,100,10.0,overcast clouds
25,Bluff,NZ,-46.6,168.3333,46.44,74,2,9.66,clear sky
26,Hilo,US,19.7297,-155.09,80.28,92,20,5.75,few clouds
27,Cherskiy,RU,68.75,161.3,10.26,91,100,5.35,overcast clouds
